# C1 second examples + synonyms — batch 03 (120 cards)
die Mehrsprachigkeit	Die Schule versteht Mehrsprachigkeit ausdrücklich als Chance.	The school explicitly regards multilingualism as an opportunity.	Vielsprachigkeit
das Funktionsverbgefüge	Funktionsverbgefüge klingen förmlicher als das einfache Verb.	Support verb constructions sound more formal than the simple verb.
paraphrasieren	Können Sie den Satz bitte einmal paraphrasieren?	Could you paraphrase the sentence once, please?	umschreiben
linguistisch	Sie hat eine rein linguistische Ausbildung.	She has a purely linguistic training.	sprachwissenschaftlich
die Individualisierung	Mit der Individualisierung wächst auch die Einsamkeit.	With individualisation, loneliness grows too.
die Polarisierung	Die Polarisierung nimmt vor Wahlen regelmäßig zu.	Polarisation regularly increases before elections.	Spaltung
die Zivilgesellschaft	Die Zivilgesellschaft sprang ein, wo der Staat versagte.	Civil society stepped in where the state failed.
der Wertewandel	Der Wertewandel vollzieht sich langsamer, als Umfragen vermuten lassen.	The shift in values happens more slowly than surveys suggest.
das Gemeinwohl	Der Eingriff wird mit dem Gemeinwohl begründet.	The intervention is justified by the common good.	Allgemeinwohl
die Solidarität	Die Gewerkschaft rief zur Solidarität mit den Streikenden auf.	The union called for solidarity with the strikers.	Zusammenhalt
kennzeichnen	Die Route ist mit roten Punkten gekennzeichnet.	The route is marked with red dots.	markieren|auszeichnen
aufgreifen	Die Ministerin griff den Vorschlag der Opposition auf.	The minister took up the opposition's proposal.	übernehmen
zivilgesellschaftlich	Zivilgesellschaftliche Gruppen wurden erst spät angehört.	Civil-society groups were only consulted late on.
kontrafaktisch	Die Frage ist rein kontrafaktisch und lässt sich nicht prüfen.	The question is purely counterfactual and cannot be tested.
die Compliance	Verstöße gegen die Compliance werden intern gemeldet.	Compliance violations are reported internally.
die Verhandlung	Die Verhandlung vor dem Landgericht beginnt um neun Uhr.	The trial at the regional court begins at nine.	Prozess
die Stellungnahme	Zu dem Vorwurf gab es bis heute keine Stellungnahme.	To this day there has been no statement on the accusation.	Äußerung|Erklärung
das Schreiben	Ein anwaltliches Schreiben brachte die Sache in Bewegung.	A lawyer's letter got things moving.	Brief
der Kompromiss	Ein fauler Kompromiss ist schlimmer als gar keiner.	A rotten compromise is worse than none at all.	Einigung
Bezug nehmen auf	In seiner Rede nahm er mehrfach Bezug auf die Verfassung.	In his speech he referred to the constitution several times.
