# Generated by scripts/corpus/dupe-points.ts — every grammar-point pair the detector
# raises, with a hand-verified verdict. NOTHING IS MERGED: gex ids are keyed on the
# point title, so retiring a point orphans a learner's FSRS schedule with nothing to
# detect it, and there is no title→title migration. See the header of the script.
# score	verdict	point A	point B	why
1.00	duplicate	B1::Finalsätze: damit & um … zu	B2::Finalsätze (um … zu / damit)	same rule, same two examples, same level of detail. The clearest duplicate in the bank
0.86	duplicate	A2::Adjektivdeklination: ohne Artikel	B1::Adjektivdeklination: ohne Artikel (stark)	the same table under two names
0.68	duplicate	A2::Passiv Präsens	B2::Passiv	the B2 page re-teaches the present passive A2 already gave. B2 should start at the Zustandspassiv
0.67	progression	A1::sein & haben	A1::Präteritum: sein & haben	present, then past, of the same two verbs. Deliberately sequenced — the second is meaningless without the first
0.67	progression	A1::Personalpronomen (Akkusativ)	A2::Personalpronomen (Akkusativ & Dativ)	A1 gives one pronoun set, A2 adds the second and contrasts them
0.67	progression	A2::Adjektivdeklination: indefiniter Artikel	A2::Adjektivdeklination: ohne Artikel	two of the three declension types, deliberately split across pages
0.67	duplicate	B1::Plusquamperfekt & nachdem/bevor	B2::Plusquamperfekt	same tense, same construction, same nachdem pairing
0.60	duplicate	B1::Konjunktiv II der Vergangenheit (irreale Wünsche)	C1::Konjunktiv II Vergangenheit	identical construction and identical framing as regrets. Two levels apart
0.50	distinct	A1::Personalpronomen (Akkusativ)	A2::Akkusativ	the pronoun paradigm against the case itself. Shared word, different subject
0.50	progression	A1::Ortsangaben mit Dativ	B1::Dativ	A1 meets the dative as a fact about place prepositions; B1 teaches the case and its four jobs
0.50	distinct	A1::Modalverben	B2::Subjektive Modalverben	objective modality (permission, obligation) against epistemic (hearsay, certainty). Same six words, unrelated jobs
0.50	progression	A2::Adjektivdeklination: nach bestimmtem Artikel (schwach)	A2::Adjektivdeklination: ohne Artikel	weak and strong — two of the three types, split across pages on purpose
0.50	progression	A2::Konjunktiv II: Wünsche & Vorschläge	B1::Konjunktiv II der Vergangenheit (irreale Wünsche)	present subjunctive, then past. The second builds on the first
0.50	duplicate	A2::Verbindungsadverbien: trotzdem & deshalb	B2::Konnektoren (deshalb/trotzdem)	same two connectors, same word-order point
0.50	distinct	A2::Adjektivdeklination: indefiniter Artikel	B1::Adjektivdeklination: ohne Artikel (stark)	mixed against strong. Different tables
0.50	distinct	A2::Adjektivdeklination: ohne Artikel	B1::Adjektivdeklination: nach unbestimmtem Artikel (gemischt)	strong against mixed
0.50	progression	A2::Adjektivdeklination: ohne Artikel	B2::Adjektivdeklination	one type, then the B2 page that consolidates all three under a single rule
0.50	distinct	A2::Wortbildung: Nomen & Diminutiv	B1::Wortbildung: Komposita (Nomen)	suffixation and the diminutive against compounding. Both are word formation; neither teaches the other
0.50	duplicate	B1::Konjunktiv II (würde)	B2::Konjunktiv II (Gegenwart)	present Konjunktiv II, taught at both levels with the same form list
0.50	progression	B1::Konjunktiv II (würde)	C1::Konjunktiv II Vergangenheit	present subjunctive, then past
0.50	distinct	B1::Passiv: Perfekt & Modalverben	B1::Lassen & Modalverben im Perfekt	passive with a modal against the double-infinitive perfect of lassen and the modals
0.50	duplicate	B1::Passiv: Perfekt & Modalverben	B1::Passiv Perfekt & Präteritum	the perfect passive taught twice **inside B1**. The worst case, because a learner meets both in one level
0.50	duplicate	B1::Infinitivsätze (zu + Infinitiv)	B2::Infinitiv mit zu	same construction, same trigger list
0.50	distinct	B1::statt / ohne … zu + Infinitiv	B2::Infinitiv mit zu	two specific conjunctions taking an infinitive clause, against the general zu-infinitive and its trigger list
0.50	distinct	B2::Passiv	B2::Passiv-Ersatzformen	the passive against the constructions used to avoid it (man, sich lassen, -bar)
0.50	progression	B2::Konjunktiv II (Gegenwart)	C1::Konjunktiv II Vergangenheit	present, then past
0.42	duplicate	A1::Possessivartikel	A1::Possessivartikel (mein, dein …)	the same point twice **inside A1**, under two spellings of one title. Invisible to a title-only check because one carries a parenthetical. The worst duplicate in the bank: a learner meets both in the same chapter
0.40	duplicate	A2::Nebensätze: wenn & als	B2::Temporale Nebensätze (als/wenn/nachdem/bevor)	B2 restates the A2 als/wenn split and adds nachdem/bevor. Overlapping rather than building
0.40	progression	A2::Adjektivdeklination: nach bestimmtem Artikel (schwach)	A2::Adjektivdeklination: indefiniter Artikel	weak and mixed — same system, different determiner
0.40	distinct	A2::Adjektivdeklination: nach bestimmtem Artikel (schwach)	B1::Adjektivdeklination: ohne Artikel (stark)	weak against strong. Opposite ends of the system
0.40	duplicate	A2::Konjunktiv II: Wünsche & Vorschläge	B1::Konjunktiv II (würde)	both teach the *present* Konjunktiv II with the same four forms
0.40	duplicate	A2::Konjunktiv II: Wünsche & Vorschläge	B2::Konjunktiv II (Gegenwart)	present Konjunktiv II again — the third page for one construction
0.40	progression	A2::Konjunktiv II: Wünsche & Vorschläge	C1::Konjunktiv II Vergangenheit	present, then past
0.40	duplicate	A2::Adjektivdeklination: indefiniter Artikel	B1::Adjektivdeklination: nach unbestimmtem Artikel (gemischt)	both are the mixed declension after ein-words. Same table, two levels
0.40	duplicate	B1::Passiv: Perfekt & Modalverben	B2::Passiv Perfekt: „ist … worden“	the third page in the bank teaching worden-not-geworden
0.40	progression	B1::Adjektivdeklination: nach unbestimmtem Artikel (gemischt)	B1::Adjektivdeklination: ohne Artikel (stark)	mixed and strong, both at B1 — the two halves B1 adds to A2's weak table
0.40	duplicate	B1::Passiv Perfekt & Präteritum	B2::Passiv Perfekt: „ist … worden“	both teach worden-not-geworden; the B2 page is a strict subset of the B1 one
0.35	duplicate	B1::Konjunktion: als ob (irreal)	C2::Irreale Vergleiche (als ob)	same construction and same subjunctive. C2 adds only the bare-als variant
