# C2 second examples + synonyms — batch 02 (104 cards)
das Handtuch werfen	Nach dem dritten Fehlversuch warf sie das Handtuch.	After the third failed attempt she gave up.
die Erwiderung	Seine Erwiderung fiel deutlich sachlicher aus als der Angriff.	His rebuttal was considerably more measured than the attack.	Entgegnung|Replik
der Trugschluss	Der Trugschluss liegt darin, von einem Fall auf alle zu schließen.	The fallacy lies in inferring from one case to all.	Fehlschluss|Irrtum
die Beweisführung	Die Beweisführung stützt sich allein auf Indizien.	The line of proof rests on circumstantial evidence alone.	Argumentation|Nachweis
die Stichhaltigkeit	An der Stichhaltigkeit dieser Einwände bestehen Zweifel.	There are doubts about the cogency of these objections.	Schlüssigkeit
die Zuspitzung	Die Zuspitzung im Titel soll zum Weiterlesen verleiten.	The pointed framing in the title is meant to entice you to read on.	Überspitzung
entkräften	Das Gutachten entkräftet den Verdacht vollständig.	The expert report completely invalidates the suspicion.	widerlegen|abschwächen
untermauern	Interne E-Mails untermauern die Darstellung der Klägerin.	Internal emails underpin the plaintiff's account.	belegen|stützen
relativieren	Er relativierte seine Aussage, sobald Widerspruch kam.	He qualified his statement as soon as there was opposition.	abschwächen|einschränken
einräumen	Der Konzern räumte erstmals Fehler bei der Prüfung ein.	The group admitted errors in the audit for the first time.	zugeben|eingestehen
schlüssig	Ohne die fehlende Seite ist die Akte nicht schlüssig.	Without the missing page the file is not coherent.	stimmig|folgerichtig
triftig	Wer triftige Gründe hat, kann die Frist verlängern lassen.	Anyone with valid reasons can have the deadline extended.	stichhaltig|überzeugend
polemisch	Der Streit wurde zunehmend polemisch geführt.	The dispute was conducted in an increasingly polemical way.	scharf
die Quintessenz	Die Quintessenz lässt sich in einem Satz sagen: Es fehlt Geld.	The quintessence can be said in one sentence: money is lacking.	Kern|Essenz
die Konnotation	Im politischen Sprachgebrauch änderte das Wort seine Konnotation.	In political usage the word changed its connotation.	Nebenbedeutung|Beiklang
die Implikation	Er übersah die praktische Implikation seines eigenen Vorschlags.	He overlooked the practical implication of his own proposal.	Folgerung|Konsequenz
die Dichotomie	Die Debatte leidet an der Dichotomie von Markt und Staat.	The debate suffers from the dichotomy of market and state.	Zweiteilung|Gegensatz
die Antinomie	In diesem Gesetz steckt eine kaum lösbare Antinomie.	This law contains a barely resolvable antinomy.	Widerspruch
die Kausalität	Eine Kausalität lässt sich in diesem Fall nicht nachweisen.	Causality cannot be demonstrated in this case.	Ursächlichkeit
die Kontingenz	Die Kontingenz historischer Ereignisse widerspricht jeder Planung.	The contingency of historical events defies all planning.
die Diskursanalyse	Eine Diskursanalyse der Schlagzeilen offenbart wiederkehrende Muster.	A discourse analysis of the headlines reveals recurring patterns.
die Hermeneutik	In der Hermeneutik gilt der Zirkel von Teil und Ganzem.	In hermeneutics the circle of part and whole applies.
die Dialektik	Die Dialektik von Freiheit und Sicherheit prägt die Debatte.	The dialectic of freedom and security shapes the debate.
die Empirie	Zwischen Theorie und Empirie klafft hier eine Lücke.	Here a gap yawns between theory and empirical evidence.
