# Authored lead examples — the 23 cards whose first example could not be fixed by
# reordering (scraped citation or fragment, with no clean sibling to promote).
# id <TAB> de <TAB> en   — prepended, so the existing rows stay on the card.
voc:B2:die Probezeit	Die Probezeit dauert bei uns sechs Monate.	Here the probationary period lasts six months.
voc:B2:vernetzt	Alle Filialen sind digital miteinander vernetzt.	All branches are digitally networked with one another.
voc:B2:das Stück	Möchtest du noch ein Stück Kuchen?	Would you like another piece of cake?
voc:B2:die Begrünung	Die Begrünung der Dächer senkt die Temperatur in der Stadt.	Greening the roofs lowers the temperature in the city.
voc:C1:das Ehrenamt	Sie übt ihr Ehrenamt seit zehn Jahren aus.	She has held her voluntary position for ten years.
voc:C2:das Gesetz	Das Gesetz tritt am ersten Januar in Kraft.	The law comes into force on the first of January.
voc:B2:die Überstunde	Die Überstunden werden am Monatsende ausgezahlt.	The overtime is paid out at the end of the month.
voc:B2:die erneuerbare Energie	Erneuerbare Energien decken inzwischen die Hälfte des Strombedarfs.	Renewable energy now covers half of electricity demand.
voc:B2:beeindruckend	Ihre Rede vor dem Ausschuss war wirklich beeindruckend.	Her speech to the committee was truly impressive.
voc:C1:kognitiv	Mit dem Alter lassen die kognitiven Fähigkeiten langsam nach.	With age, cognitive abilities slowly decline.
voc:C1:die Minderheit	Die Regierung stützt sich auf eine Minderheit im Parlament.	The government relies on a minority in parliament.
voc:B2:der Dachs	Der Dachs ist nachtaktiv und lebt in einem weitverzweigten Bau.	The badger is nocturnal and lives in a widely branching sett.
voc:B1:das Selbstwertgefühl	Lob von Kollegen stärkt das Selbstwertgefühl.	Praise from colleagues strengthens self-esteem.
voc:A2:die Sporttasche	Meine Sporttasche liegt noch im Auto.	My gym bag is still in the car.
voc:A2:richtig	Deine Lösung ist richtig.	Your solution is correct.
voc:A2:falsch	Die Adresse auf dem Brief war falsch.	The address on the letter was wrong.
voc:B2:die Minderheit	Nur eine kleine Minderheit stimmte dagegen.	Only a small minority voted against it.
voc:C2:die Resilienz	Die Resilienz des Systems zeigt sich erst unter Last.	The system's resilience only shows under load.
voc:B2:der Verweis	Der Aufsatz enthält einen Verweis auf die ältere Studie.	The essay contains a reference to the earlier study.
voc:C1:barrierefrei	Der Bahnhof ist seit dem Umbau barrierefrei.	Since the rebuild the station has been barrier-free.
voc:C1:kombinieren	Sie kombiniert seit drei Jahren Beruf und Studium.	She has been combining work and study for three years.
voc:C1:der Nordwesten	Im Nordwesten des Landes regnet es deutlich mehr.	In the northwest of the country it rains considerably more.
voc:A2:das Nachthemd	Sie zog ihr Nachthemd an und ging ins Bett.	She put on her nightie and went to bed.
