# Duplicate groups this pass deliberately did NOT merge — each needs a human ruling.
# Merging on a gloss heuristic would destroy real homographs: der Zug is train AND
# move-in-a-game, der Kurs is course AND share price, der Satz is sentence AND set.
# term	why	copies
der/die Bekannte	gender differs	A1/People: acquaintance || B1/Work & Colleagues: acquaintance
abholen	glosses differ — may be a homograph	A2/Core verbs: to pick up, to collect || A1/Miscellaneous: to pick up
absagen	glosses differ — may be a homograph	A2/Communication: to cancel, call off || A1/University & Appointments: to cancel
absolvieren	glosses differ — may be a homograph	B1/University & study: to complete (a course) || B2/Studies & Training: to complete, graduate
anbieten	glosses differ — may be a homograph	A1/Core verbs: to offer, to provide || B1/Services & Complaints: to offer
anfangen	glosses differ — may be a homograph	A2/Core verbs: to begin, to start || A1/Miscellaneous: to begin
anmelden	glosses differ — may be a homograph	A2/Administration: to register, to sign up || B1/Intermediate travel and daily life: to register, to check in
anrufen	glosses differ — may be a homograph	A1/Core verbs: to call, to phone || A2/Everyday life basics: to call
aufführen	glosses differ — may be a homograph	B2/Music & Theatre: to perform, stage || B1/Arts and culture: to perform; to stage
aufgeben	glosses differ — may be a homograph	A2/Miscellaneous: to give up; to post || B1/Intermediate everyday verbs: to give up, abandon
aufmerksam	glosses differ — may be a homograph	A2/Miscellaneous: attentive || B1/Intermediate descriptive adjectives: attentive, alert
aufräumen	glosses differ — may be a homograph	A1/Home: to tidy up || A2/Home: to tidy up, clean up
auftreten	glosses differ — may be a homograph	A2/Miscellaneous: to perform, appear || B1/Hobbies and leisure: to perform
ausfüllen	glosses differ — may be a homograph	A1/Administration: to fill in (a form) || B1/Intermediate travel and daily life: to fill in, to complete
ausgrenzen	glosses differ — may be a homograph	B2/Migration & Integration: to exclude, marginalise || C1/Language & Power: to exclude
außerdem	glosses differ — may be a homograph	A2/Miscellaneous: besides, moreover || B1/Core Vocabulary: moreover
ausziehen	glosses differ — may be a homograph	A2/Clothing: to take off; to move out || A1/Housing & Room Search: to move out || B1/Home: to move out
beeinflussen	glosses differ — may be a homograph	B1/Core verbs: to influence, to affect || C1/Language & Power: to influence || B2/Core Vocabulary: to influence
befördern	glosses differ — may be a homograph	B1/Work & career: to transport; to promote || B2/Business & Workplace: to promote
behandeln	glosses differ — may be a homograph	A2/Treatment: to treat || B2/Body & Illness: to treat (medically)
bei	glosses differ — may be a homograph	A2/Spatial relations: near, at, with || A1/Core Vocabulary: at / near
beurteilen	glosses differ — may be a homograph	B1/Miscellaneous: to judge, assess || B2/Core Vocabulary: to judge
bewältigen	glosses differ — may be a homograph	B2/Working Life: to cope with, manage || C1/Core Vocabulary: to cope with
bewerten	glosses differ — may be a homograph	B2/Core Vocabulary: to evaluate || B1/Politics & History: to evaluate, assess
