# C2 second examples + synonyms — batch 01 (110 cards)
die Argumentation	Die Argumentation des Gerichts ist in sich geschlossen.	The court's line of reasoning is internally consistent.	Beweisführung|Begründung
die Prämisse	Die stillschweigende Prämisse des Textes ist, dass Wachstum gut sei.	The text's tacit premise is that growth is good.	Voraussetzung|Annahme
die Schlussfolgerung	Aus diesen Daten lässt sich die Schlussfolgerung nicht ziehen.	That conclusion cannot be drawn from these data.	Folgerung|Fazit
darlegen	In der Einleitung legt sie ihre Methode knapp dar.	In the introduction she sets out her method concisely.	erläutern|ausführen
erörtern	Die Kommission erörterte den Antrag in nichtöffentlicher Sitzung.	The committee discussed the motion in closed session.	diskutieren|behandeln
stringent	Seine Beweisführung ist stringent, aber schwer zu lesen.	His demonstration is rigorous but hard to read.	folgerichtig|schlüssig
der Beleg	Als Beleg dient ein Brief aus dem Jahr 1912.	A letter from 1912 serves as evidence.	Nachweis|Beweis
die Quellenkritik	Die Quellenkritik entlarvte das Dokument als Fälschung.	Source criticism exposed the document as a forgery.
fundieren	Die Kritik ist gut fundiert und schwer zu entkräften.	The criticism is well substantiated and hard to refute.	untermauern|stützen
nachweisen	Ein Verschulden konnte ihm nicht nachgewiesen werden.	No fault could be proven against him.	belegen|beweisen
die Metapher	Er spricht in Metaphern, wo Klarheit nötig wäre.	He speaks in metaphors where clarity would be needed.	Bild|Sinnbild
die Ironie	Es ist eine Ironie der Geschichte, dass ausgerechnet er das Amt erbte.	It is an irony of history that of all people he inherited the office.
die Übertreibung	Ohne jede Übertreibung: Das war der beste Abend des Jahres.	Without any exaggeration: that was the best evening of the year.	Hyperbel
die Pointe	Die Pointe der Geschichte steht schon im ersten Satz.	The point of the story is already in the first sentence.
die Eindringlichkeit	Mit großer Eindringlichkeit warnte er vor den Folgen.	With great urgency he warned of the consequences.	Nachdruck
pointieren	Der Essay pointiert die Gegensätze bis zur Karikatur.	The essay sharpens the contrasts to the point of caricature.	zuspitzen
der Vortrag	Nach dem Vortrag blieb noch Zeit für Fragen.	After the talk there was still time for questions.	Referat|Rede
der Redefluss	Ihr Redefluss riss auch bei schwierigen Fragen nicht ab.	Her flow of speech did not falter even with difficult questions.
gliedern	Der Aufsatz gliedert sich in Einleitung, Hauptteil und Schluss.	The essay is structured into introduction, main body and conclusion.	strukturieren|unterteilen
