abfall	Environment
abhilfe	Abstract
abhängen von + d	Core verbs
abhängig von + d	Abstract
abneigung	Emotions
abschließen	Core verbs
absicherung	Abstract
absolut	Adjectives
abstieg	Abstract
achten auf + a	Core verbs
achtung	Values & Norms
altenheim	Health
analysieren	Academic Work
anfangs	Time
angenehm	Adjectives
anlass	Social life
anruf	Communication
anschaffen	Money & shopping
anschlag	Military concepts
anschließend	Time
ansprechen (person)	Communication
anspruch	Legal Terms
anteil	Economy & Markets
anwalt	Legal Terms
anwesenheit	Abstract
apparat	Technology & Devices
atmosphäre	Weather & nature
aufbauen	Work
aufklären	Communication
auftritt	Arts and culture
augenblick	Time
augenscheinlich	Adjectives
ausgang	Town & travel
ausgangspunkt	Abstract
ausleihen	Core verbs
ausrede	Communication
ausschuss	Politics
austausch	Communication
ausweg	Abstract
autor	Literature
außerdem	Adverbs
beachten	Core verbs
beachtung	Abstract
bedarf	Economy & Markets
bedeutung	Language
begabung	Education
behandeln (arzt)	Treatment
beherrschen	Language
beitragen zu + d	Core verbs
bemerkenswert	Adjectives
benötigen	Core verbs
beratungsstelle	Administration
bericht	News Media
berichten	Communication
berührung	Body & health
bescheid	Administration
bescheid geben	Useful Phrases
bescheid sagen	Useful Phrases
besitzen	Core verbs
besonders	Adverbs
bestehen aus + d	Core verbs
bestätigen	Academic Work
besuch	Social life
betrag	Money & shopping
betreuen	Work
betreuer	Work & profession
betreuung	Health
betriebssystem	Technology
betroffen	Emotions
beurteilen	Academic Work
bewertung	Media Critique
bewährung	Legal Terms
bezug	Abstract
bitten um + a	Communication
boot	Transport & Mobility
braut	Relationships
burg	City sightseeing
büffeln	Education
bürokratie	Administration
bürokratisch	Administration
chance	Abstract
chaos	Abstract
danach	Time
dank + g	Connectors
debattieren	Rhetoric & Debate
den horizont erweitern	Useful Phrases
denkbar	Adjectives
der/die reisende	Travel
der/die vorgesetzte	Work & profession
detail	Abstract
diebstahl	Legal Terms
ding	Abstract
diplom	Education
direktor	Education
distanz	Spatial relations
doktor	Health
drama	Literature & Film
dreck	Home
drittel	Numbers
durchbruch	Abstract
ebenso	Adverbs
echt	Adjectives
edv	Technology
effekt	Science concepts
ehepaar	Family
ehrgeiz	Emotions
ein gespräch führen	Useful Phrases
ein problem lösen	Useful Phrases
einführung	Academic Writing
einheimisch	Cultural Identity
einspruch	Legal Terms
einstieg	Abstract
einverstanden sein mit + d	Useful Phrases
elegant	Adjectives
empfang	Accommodation
enthalten	Academic Work
entscheidend	Adjectives
entsprechen	Academic Work
episode	Films & festivals
erfolgen	Core verbs
erlaubnis	Administration
erleben	Core verbs
ermittlung	Legal Terms
eröffnen (veranstaltung)	Festivals & customs
es gibt + a	Useful Phrases
europameisterschaft	Sport
fahrtkosten	Travel
familiär	Register & Style
fantastisch	Adjectives
fass	Objects & Materials
fasziniert sein von + d	Useful Phrases
favorit	Sport
ferienjob	Work
festgefahren	Adjectives
festplatte	Technology & Devices
finale	Sport
finanzamt	Finance & Taxes
flohmarkt	Money & shopping
flug	Travel
format	Abstract
formell	Register & Style
formulierung	Language
forum	Social Networks
fotografie	Visual Arts
fragezeichen	Language
frechheit	Emotions
freiheit (wert)	Values & Norms
fremdenfeindlichkeit	Migration & Integration
friedhof	Town & travel
frisur	Body & health
fundament	Home
gebirge	Landscape & nature
gegenleistung	Abstract
gegenmittel	Treatment
gegenseitig	Adverbs
geheimnisvoll	Adjectives
gehör	Body parts
gehören zu + d	Core verbs
geige	Music & Theatre
geisel	Legal Terms
geist	Abstract
gelangen zu + d	Core verbs
gelten als + n	Core verbs
genauso	Adverbs
genial	Adjectives
gern — lieber	Adverbs
gerne	Greetings
gesang	Music & Theatre
gier	Emotions
gitarre	Music & Theatre
gleichberechtigt	Values & Norms
glocke	Objects & Materials
gremium	Politics
griff	Abstract
großartig	Adjectives
gruß	Greetings
grußformel	Business Correspondence
gründung	Business & Workplace
haftbefehl	Legal Terms
harz	Objects & Materials
heimat (region)	Cultural Identity
heirat	Relationships
held	Literature
herrlich	Adjectives
herrschen	Politics
herstellen	Work
herzinfarkt	Ailments
hexe	Fairy Tales & Stories
hilfe leisten	Useful Phrases
hilfreich	Adjectives
hingabe	Emotions
hintergrund	Abstract
hinweis	Communication
hinweisen auf + a	Communication
hochmodern	Technology
hochwasser	Weather conditions
hässlich	Adjectives
identisch	Adjectives
in wirklichkeit	Useful Phrases
individuell	Adjectives
informativ	Adjectives
inhalt	Abstract
innerhalb + g	Connectors
interesse wecken	Useful Phrases
internat	Education
interview	News Media
investor	Financial Markets
inzwischen	Time
irgendwann	Time
irrtum	Abstract
jahrzehnt	Time
jedermann	Adverbs
jedes mal	Time
jugend	Life Stages
kampf	Military concepts
kanal	Landscape & nature
kanone	Military concepts
kapitän	Transport & Mobility
kapsel	Science concepts
kaputt	Adjectives
kette	Clothing
klarheit	Abstract
klavier	Music & Theatre
kleinigkeit	Abstract
klinge	Objects & Materials
kofferraum	Transport & Mobility
koma	Ailments
komfort	Abstract
komisch	Adjectives
kompliment	Communication
konstellation	Science concepts
konsument	Advertising & Consumption
kontakt aufnehmen	Useful Phrases
kontakte knüpfen	Useful Phrases
kontrolle	Administration
kontrollieren	Core verbs
korrespondenz	Business Correspondence
kostenlos	Money & shopping
kreatur	Animals
kreisverkehr	Transport & Mobility
krise	Society
kutsche	Transport & Mobility
köder	Objects & Materials
königreich	Politics
kühl	Adjectives
künstlich	Science concepts
kürze	Abstract
landen	Travel
landschaft	Landscape & nature
landtag	Politics
lebendig	Adjectives
lebensart	Cultural Identity
lebenshaltungskosten	Personal finance
leichnam	Body & health
lesung	Literature
luftballon	Free time
luftverschmutzung	Environment
magazin	News Media
marke	Advertising & Consumption
marktplatz	Town & travel
medium	News Media
medizin	Treatment
meistens	Time
melodie	Music & Theatre
ministerium	Politics
misstrauen	Emotions
mitbestimmen	Work
mittelalter	Society
mittelschule	Education
moral	Values & Norms
motorrad	Transport & Mobility
mut	Emotions
mut machen	Useful Phrases
muttersprachler	Language
müdigkeit	Body & health
mühle	Objects & Materials
nachdenken über + a	Academic Work
nachfragen	Communication
nachricht (sms)	Communication
nadel	Objects & Materials
naht	Clothing
neulich	Time
nordwesten	Spatial relations
notwehr	Legal Terms
novelle	Literature
obergeschoss	Home
ohrring	Clothing
opa	Family
ordentlich	Adjectives
originell	Adjectives
pech haben	Useful Phrases
peinlich (situation)	Adjectives
pflege	Health
pflegeheim	Health
pfosten	Objects & Materials
phänomen	Science concepts
pirat	Literature
pkw	Transport & Mobility
plakat	Advertising & Consumption
planung	Abstract
plötzlich	Time
poesie	Literature
prediger	Religion
prinz	Fairy Tales & Stories
prinzessin	Fairy Tales & Stories
profi	Sport
profitieren von + d	Personal finance
präsentation	Oral Presentation
punkt	Abstract
quartal	Time
rache	Emotions
rand	Spatial relations
rasse	Society
rassismus	Society
raubüberfall	Legal Terms
raum	Spatial relations
raumschiff	Science concepts
realisieren	Core verbs
rechnen mit + d	Personal finance
rechtzeitig	Time
regelung	Administration
reiselustig	Travel
renovieren	Real Estate & Moving
resolution	Politics
rettungswagen	Health
riesig	Adjectives
ruhm	Abstract
rund um	Adverbs
rücksicht nehmen auf + a	Useful Phrases
rückzug	Military concepts
samt	Objects & Materials
sarg	Objects & Materials
schande	Emotions
schatz	Relationships
scheune	Farm
schicksal	Abstract
schließlich	Time
schloss (gebäude)	City sightseeing
schluss	Abstract
schlüsselwort	Language
schmuck	Clothing
schnitt	Abstract
schritt	Spatial relations
schuft	People
schutz	Abstract
schwanger	Body & health
schweiß	Body & health
schwert	Military concepts
schwierigkeit	Abstract
seit langem	Time
selbstmord	Mental health concepts
seltsam	Adjectives
sich auflösen	Core verbs
sich beschäftigen mit + d	Academic Work
sich beteiligen	Civic Courage
sich eignen für + a	Core verbs
sich einsetzen	Civic Courage
sich erhoffen	Emotions
sich erinnern an + a	Emotions
sich erkundigen	Communication
sich etwas vorstellen	Core verbs
sich freuen auf + a	Emotions
sich interessieren für + a	Free time
sich konzentrieren auf + a	Core verbs
sich orientieren an + d	Core verbs
sich qualifizieren	Career & Advancement
sich verlieben in + a	Emotions
sich verstehen	Relationships
sich vorbereiten auf + a	Education
sich ärgern über + a	Emotions
signal	Communication
software	Technology
song	Music & Theatre
sorgen für + a	Core verbs
sorte	Abstract
sortieren	Core verbs
spielfeld	Sport
stadion	Sport
stadtteil	Urban life
stammen aus + d	Cultural Identity
standard	Abstract
stark	Adjectives
statt + g	Connectors
status	Society
stich	Ailments
stock	Objects & Materials
story	Literature
stoß	Abstract
strand	Landscape & nature
straßenverkehr	Transport & Mobility
stufe	Abstract
system	Abstract
süden	Spatial relations
